,channel_id,channel_title,channel_description,creation_date,view_count,video_count,number_subscriber
1,UC2avy3Pwc3yVtt-tPKJn33A,ma ferme autonome,"Produire sa nourriture et son énergie. S'approvisionner en eau sans être raccordé au réseau de distribution. Pratiquer l'artisanat domestique et familial. Etc. Vous trouverez ici des vidéos diverses sur la manière de vivre dans une ferme autonome, sans avoir besoin de consommer et en produisant vous-même ce dont vous avez besoin au quotidien.",2017-10-16 19:58:15,17326781,83,228000
2,UC4EDwdyja1R7-dOKa7J4cGw,La maison en A,"Tout est possible. C’est ce concept que j’ai voulu prouver, éprouver, explorer en suivant l’aventure extraordinaire d’Elizabeth. 

« La maison en A » , c’est la construction d’une maison en solitaire par une femme de 65 ans avec un budget riquiqui. C’est aussi un film, une belle aventure humaine pour laquelle j’ai planté ma tente sur un chantier pendant 8 mois. Un film pour lequel j’ai consacré presque cinq belles années entre l’écriture, le tournage, le montage et la tournée de diffusion. 

Bientôt ici des tutoriels pour expliquer sa méthode de construction. Soutenez le projet sur la cagnotte Ulule : https://fr.ulule.com/la-maison-en-a/

Vous trouverez plein de ressources et d'outils pour aller plus loin dans l'exploration de ce projet ici: https://linktr.ee/Lamaisonena",2021-05-24 07:42:31.383795,397014,34,8110
3,UC4peNo-31r7fhQZgu0_JRIA,Sheshounet,"Je suis Sheshounet et le contenu que je propose est immature.
J'ai commencé les vidéos en 2006 (sur Google.Video et Dailymotion) avec Kevin le roxxor, j'ai aussi produit divers tests, des courts-métrages et des coups de putes.
J'ai fait un passage chez Jeuxvideo.com et Millenium.org, d'où mon professionnalisme exemplaire.
Depuis 2016 Youtube n'est qu'un hobbie, du coup je fais de la qualité.",2018-12-27 20:03:38.5395,135080039,196,840000
4,UC7D9Q0WzEejlgdXywAgz79A,Réussite Critique,"Mahyar, auteur, justicier, mercenaire. Au service du gamedesign et de l'imaginaire.",2016-01-17 09:49:20,5994913,151,83800
5,UC84tRKkdLdEC00mRWKN_ZSQ,SARGH06,,2015-05-18 18:14:47,267028,119,1420
6,UC8qxftC5pwxJZsfuLrlClJA,750g,"La chaîne 750g, c'est la chaîne CUISINE avec des recettes de cuisine, des techniques, des astuces et des conseils, animée par nos chefs Damien et Christophe. Des recettes simples aux recettes sophistiquées, 750g est LA chaîne à suivre pour progresser et s'amuser en cuisine !

Abonnez-vous à la chaîne 750g et ne ratez aucune de nos vidéos !
http://www.youtube.com/subscription_center?add_user=750grammes",2014-06-02 12:23:21,368146747,2786,1360000
7,UC91cRUSzWT0nL66FhKHciIQ,Primitive Pathways,"Share the adventures of the forgotten past with Billy Berger.  Creative, professional quality videos will both educate and entertain.  Also check out my website (https://primitivepathways.com), link is below, for lots of unique primitive items that make great gifts for yourself or someone else.  I'll be uploading new content regularly, as well as producing more primitive DVD's in the near future, so don't go too far.  Enjoy my videos, check out the website, and most importantly, get out there and practice those primitive skills so they're preserved and not forgotten.  Long live the Stone Age!",2017-10-17 20:29:01,28089931,156,115000
8,UCAL3JXZSzSm8AlZyD3nQdBA,Primitive Technology,"Primitive technology is a hobby where you build things in the wild completely from scratch using no modern tools or materials. These are the strict rules: If you want a fire, use a fire stick - An axe, pick up a stone and shape it - A hut, build one from trees, mud, rocks etc. The challenge is seeing how far you can go without utilizing modern technology. I do not live in the wild, but enjoy building shelter, tools, and more, only utilizing natural materials. To find specific videos, visit my playlist tab for building videos focused on pyrotechnology, shelter, weapons, food & agriculture, tools & machines, and weaving & fiber.

FAQ
Q.Where is this? 
A.This is in Far North Queensland Australia.
Q.Do you live in the wild?
A.I don't live in the wild but just go into the bush to make these projects. Also I camp out here occasionally.
Q.How did you learn all this?
A.Researching books and internet plus trial and error. I'm not indigenous and have no army training.

Check out my blog below.",2016-01-19 20:31:45,997862382,51,10300000
9,UCC1Tdag0L4dfOEDAsWW6TvQ,Nassim Sahili,"Ici, on parle de musculation, de diététique et de développement personnel !
Abonne toi vite pour ne pas manquer les prochaines vidéos ;)",2015-09-12 21:00:44,87741028,375,713000
10,UCCMxHHciWRBBouzk-PGzmtQ,Bazar du Grenier,"La chaîne ""fourre tout"" du grenier ! 
- Cinéma
- Jeux de rôles
- Let's play
- Reviews de jeux !",2015-04-27 11:26:21,812245851,1350,1800000
11,UCCXLxvDGtuTumtqd-w01-DA,Breathwood,"This is the Youtube home of David Yates, a didgeridoo player and teacher, multi-instrumentalist, dancer and facilitator living in Vancouver, BC, Canada. Teaching is one of his passions, so no request is too small, no concept, tip, trick, or technique too inconsequential to learn. Contact him about performances, demos, lessons, classes, skype lessons, or any other questions related to didgeridoo specifically and music in general!

Past performances have included opening for the Desert Dwellers in Vancouver (with Raghunath Khe), Starbelly Jam, Concordia University of Alberta, Just Dance, Global TV, and more!",2017-03-26 13:15:13,1031266,165,11800
13,UCDYVDDEHh-l_la4qREvLTyg,piero 83,,2015-04-24 15:04:25,59570,32,266
